Nombre,Referencia interna,Precio de venta,Tipo,Peso Kg,Tipo pallet,Medida pallet,TARIC (HS),Nombre EN-US
Rollo Film (1 unidad),A00458,0,consu,2.0,Accesorios,1.20x0.80,,Packing covering Film
Rollo cable eléctrico 40m,A00252,1,consu,5.0,Accesorios,1.20x0.80,85.44.49,Rollo cable eléctrico 40m
Servicio Mantenimiento,,"1.500,00",service,,,,,
Servicio Mantenimiento,A00483,1,service,0.0,,,,Maintenance Service
Servicios personalizados,A00272,1,service,0.0,,,,Custom services
Silla Oso,A00359,1,consu,5.0,Accesorios,1.20x0.80,9503.00.49.90,Bear Skating Aid Chair
Sillas trineo Xtraice,A00347,275,consu,13.0,Accesorios,1.20x0.80,9506.91.00.30,Skate aid chairs Xtraice
Solución de limpieza XTRAICE a fondo,A00352,65,consu,10.2,Accesorios,1.20x0.80,3402.90.10,Deep cleaning Solution Xtraice
Solución de limpieza diaria Xtraice,A00405,35,consu,5.0,,,3402.90.10,Xtraice Daily Cleaning Liquid
Sonido (4 altavoces),A00350,1,consu,0.0,,,,Sonido (4 altavoces)
Soporte de altavoces,A00246,45,consu,0.5,Accesorios,1.20x0.80,85.18.21.00,Support speakers
Spray desinfectante - 300ml,A00086,"6,5",consu,0.5,Accesorios,1.20x0.80,8424.81.10.00,Antibacterial spray
Stick hockey,A00093,20,consu,3.0,Accesorios,1.20x0.80,9506.99.90,Hockey Stick
Suelo Técnico (servicio),A00478,1,service,0.0,,,,Suelo Técnico (servicio)
Suelo de caucho rollo,A00082,330,consu,81.0,Cauchos,1.20x1.30,4016.91.00.00,Rubber floor roll
Suelo de espuma,A00088,120,consu,14.0,Cauchos,1.20x1.30,3921.19.00.00,Foam floor
"Suelo de espuma LITE 0,5",A00429,120,consu,14.0,Cauchos,1.20x1.30,3921.19.00.00,"Foam floor LITE 0,5"
Suelo técnico,A00288,0,consu,0.0,,,,Raised Floor
Suelo técnico famori m2,A00285,1,consu,0.0,,,,Suelo técnico famori m2
Supervisión instalación,A00265,1,service,0.0,,,,Installation supervision
Tacos metálicos para fijación,A00099,1,consu,9.2,Accesorios,1.20x0.80,,Tacos metálicos para fijación
